[Nodo: cliente-31 | Lamport: 256] Edicion hilo 31 lamport=20

[Nodo: cliente-33 | Lamport: 253] Edicion hilo 33 lamport=14

[Nodo: cliente-11 | Lamport: 272] Edicion hilo 11 lamport=26

[Nodo: cliente-6 | Lamport: 268] Edicion hilo 6 lamport=2

[Nodo: cliente-36 | Lamport: 274] Edicion hilo 36 lamport=23

[Nodo: cliente-8 | Lamport: 280] Edicion hilo 8 lamport=19

[Nodo: cliente-5 | Lamport: 283] Edicion hilo 5 lamport=25

[Nodo: cliente-38 | Lamport: 340] Edicion hilo 38 lamport=24

[Nodo: cliente-18 | Lamport: 343] Edicion hilo 18 lamport=5

[Nodo: cliente-29 | Lamport: 351] Edicion hilo 29 lamport=11

[Nodo: cliente-39 | Lamport: 360] Edicion hilo 39 lamport=10

[Nodo: cliente-25 | Lamport: 362] Edicion hilo 25 lamport=22

[Nodo: cliente-12 | Lamport: 348] Edicion hilo 12 lamport=13

[Nodo: cliente-3 | Lamport: 353] Edicion hilo 3 lamport=8

[Nodo: cliente-19 | Lamport: 356] Edicion hilo 19 lamport=27

[Nodo: cliente-21 | Lamport: 358] Edicion hilo 21 lamport=6

[Nodo: cliente-44 | Lamport: 367] Edicion hilo 44 lamport=18

[Nodo: cliente-2 | Lamport: 467] Edicion hilo 2 lamport=47

[Nodo: cliente-37 | Lamport: 365] Edicion hilo 37 lamport=15

[Nodo: cliente-10 | Lamport: 383] Edicion hilo 10 lamport=9

[Nodo: cliente-35 | Lamport: 371] Edicion hilo 35 lamport=38

[Nodo: cliente-9 | Lamport: 396] Edicion hilo 9 lamport=3

[Nodo: cliente-42 | Lamport: 312] Edicion hilo 42 lamport=4

[Nodo: cliente-22 | Lamport: 385] Edicion hilo 22 lamport=41

[Nodo: cliente-28 | Lamport: 394] Edicion hilo 28 lamport=16

[Nodo: cliente-46 | Lamport: 448] Edicion hilo 46 lamport=42

[Nodo: cliente-7 | Lamport: 450] Edicion hilo 7 lamport=44

[Nodo: cliente-45 | Lamport: 373] Edicion hilo 45 lamport=28

[Nodo: cliente-40 | Lamport: 390] Edicion hilo 40 lamport=7

[Nodo: cliente-17 | Lamport: 388] Edicion hilo 17 lamport=1

[Nodo: cliente-14 | Lamport: 389] Edicion hilo 14 lamport=12

[Nodo: cliente-1 | Lamport: 453] Edicion hilo 1 lamport=21

[Nodo: cliente-41 | Lamport: 460] Edicion hilo 41 lamport=17

[Nodo: cliente-4 | Lamport: 458] Edicion hilo 4 lamport=43

[Nodo: cliente-34 | Lamport: 445] Edicion hilo 34 lamport=40

[Nodo: cliente-30 | Lamport: 462] Edicion hilo 30 lamport=39

[Nodo: cliente-24 | Lamport: 464] Edicion hilo 24 lamport=49

[Nodo: cliente-33 | Lamport: 521] Edicion hilo 33 lamport=51

[Nodo: cliente-15 | Lamport: 584] Edicion hilo 15 lamport=46

[Nodo: cliente-16 | Lamport: 577] Edicion hilo 16 lamport=54

[Nodo: cliente-5 | Lamport: 615] Edicion hilo 5 lamport=60

[Nodo: cliente-8 | Lamport: 611] Edicion hilo 8 lamport=56

[Nodo: cliente-32 | Lamport: 613] Edicion hilo 32 lamport=48

[Nodo: cliente-47 | Lamport: 618] Edicion hilo 47 lamport=52

[Nodo: cliente-49 | Lamport: 622] Edicion hilo 49 lamport=53

